ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
182,Wells St & Elm St,Wells St & Elm St,23,22,In Service,41.903222,-87.634324,"(41.903222, -87.634324)"
75,Canal St & Jackson Blvd,Canal St & Jackson Blvd,31,30,In Service,41.877245,-87.639366,"(41.877245, -87.639366)"
349,Halsted St & Wrightwood Ave,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
341,Adler Planetarium,Off Street,39,39,In Service,41.866095,-87.607267,"(41.866095, -87.607267)"
84,Milwaukee Ave & Grand Ave,500 N Milwaukee Ave.,19,19,In Service,41.891578,-87.648384,"(41.891578, -87.648384)"
48,Larrabee St & Kingsbury St,840 N Larrabee St,39,39,In Service,41.897764,-87.642884,"(41.897764, -87.642884)"
81,Daley Center Plaza,Daley Center Plaza,39,38,In Service,41.884241,-87.629634,"(41.884241, -87.629634)"
21,Aberdeen St & Jackson Blvd,1103 W.Jackson Blvd,15,15,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
36,Franklin St & Jackson Blvd,340 S. Franklin St,39,39,In Service,41.877707956,-87.635321141,"(41.8777079559, -87.6353211408)"
76,Lake Shore Dr & Monroe St,402 E Monroe St,39,38,In Service,41.880958,-87.616743,"(41.880958, -87.616743)"
486,Oakley Ave & Irving Park Rd,Oakley Ave & Irving Park Rd,15,15,In Service,41.954340852,-87.686079624,"(41.95434085219, -87.6860796243)"
125,Rush St & Hubbard St,Rush St & Hubbard St,23,23,In Service,41.890173,-87.626185,"(41.890173, -87.626185)"
89,Financial Pl & Congress Pkwy,Financial Pl & Congress Pkwy,31,31,In Service,41.875009135,-87.633105819,"(41.87500913494, -87.6331058189)"
13,Wilton Ave & Diversey Pkwy,2790 N.Wilton Ave,27,27,In Service,41.932418,-87.652705,"(41.932418, -87.652705)"
128,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,19,18,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
91,Clinton St & Washington Blvd,109 N Clinton St,31,31,In Service,41.88338,-87.64117,"(41.88338, -87.64117)"
96,Desplaines St & Randolph St,Desplaines St & Randolph St,23,22,In Service,41.88461619,-87.644570585,"(41.88461618962, -87.6445705849)"
250,Ashland Ave & Wellington Ave,Ashland Ave & Wellington Ave,19,19,In Service,41.936083,-87.669807,"(41.936083, -87.669807)"
228,Damen Ave & Melrose Ave,Damen Ave & Melrose Ave,15,15,In Service,41.9406,-87.6785,"(41.9406, -87.6785)"
242,Damen Ave & Leland Ave,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)"
310,Damen Ave & Charleston St,Damen Ave & Charleston St,11,11,In Service,41.920082,-87.677855,"(41.920082, -87.677855)"
345,Lake Park Ave & 56th St,Lake Park Ave & 56th St,19,19,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
337,Clark St & Chicago Ave,Clark St & Chicago Ave,19,19,In Service,41.896544,-87.630931,"(41.896544, -87.630931)"
386,Halsted St & 56th St,Halsted St & 56th St,11,11,In Service,41.792929646,-87.644990057,"(41.79292964599, -87.6449900565)"
384,Halsted St & 51st St,Halsted St & 51st St,11,11,In Service,41.80183164,-87.645213904,"(41.80183164049, -87.645213904)"
436,Fairfield Ave & Roosevelt Rd,Fairfield Ave & Roosevelt Rd,15,15,In Service,41.866624,-87.694521,"(41.866624, -87.694521)"
440,Lawndale Ave & 23rd St,Lawndale Ave & 23rd St,11,11,In Service,41.849881946,-87.717000385,"(41.8498819465, -87.7170003853)"
511,Albany Ave & Bloomingdale Ave,Albany Ave & Bloomingdale Ave,15,14,In Service,41.914026713,-87.705126462,"(41.91402671273, -87.705126462)"
490,Troy St & Elston Ave,Troy St & Elston Ave,15,13,In Service,41.945243568,-87.706649901,"(41.94524356848, -87.7066499009)"
407,State St & Pershing Rd,State St & Pershing Rd,11,11,In Service,41.823015238,-87.626568018,"(41.82301523798, -87.6265680185)"
538,Cicero Ave & Flournoy St,Cicero Ave & Flournoy St,15,15,In Service,41.872131,-87.746619,"(41.872131, -87.746619)"
523,Eastlake Ter & Rogers Ave,Eastlake Ter & Rogers Ave,15,15,In Service,42.021019,-87.665086,"(42.021019, -87.665086)"
444,Albany Ave & 26th St,Albany Ave & 26th St,11,11,In Service,41.844475014,-87.702013013,"(41.84447501366, -87.7020130128)"
578,Bennett Ave & 79th St,Bennett Ave & 79th St,11,11,In Service,41.751785,-87.578496,"(41.751785, -87.578496)"
188,Greenview Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,15,15,In Service,41.92533,-87.6658,"(41.92533, -87.6658)"
230,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,19,19,In Service,41.94334,-87.67097,"(41.94334, -87.67097)"
239,Western Ave & Leland Ave,Western Ave & Leland Ave,19,18,In Service,41.966555,-87.688487,"(41.966555, -87.688487)"
279,Halsted St & 35th St (*),Halsted St & 35th St (*),16,16,In Service,41.830661,-87.647172,"(41.830661, -87.647172)"
57,Clinton St & Roosevelt Rd,559 W Roosevelt Rd,15,15,In Service,41.867117783,-87.641087959,"(41.8671177825, -87.6410879593)"
447,Glenwood Ave & Morse Ave,NA5,15,15,In Service,42.007971923,-87.665502394,"(42.00797192287, -87.6655023944)"
419,Lake Park Ave & 53rd St,Lake Park Ave & 53rd St,15,15,In Service,41.799494294,-87.586449896,"(41.79949429373, -87.5864498959)"
506,Spaulding Ave & Armitage Ave,Spaulding Ave & Armitage Ave,15,15,In Service,41.917183752,-87.710356652,"(41.91718375155, -87.7103566522)"
102,Stony Island Ave & 67th St,Stony Island Ave & 67th St,11,11,In Service,41.773458499,-87.585339739,"(41.77345849948, -87.5853397391)"
462,Winchester (Ravenswood) Ave & Balmoral Ave,Winchester (Ravenswood) Ave & Balmoral Ave,15,15,In Service,41.979762,-87.67753,"(41.979762, -87.67753)"
503,Drake Ave & Fullerton Ave,Drake Ave & Fullerton Ave,15,15,In Service,41.924398819,-87.715441036,"(41.924398819, -87.7154410355)"
343,Racine Ave & Wrightwood Ave,Racine Ave & Wrightwood Ave,15,15,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
107,Desplaines St & Jackson Blvd,Desplaines St & Jackson Blvd,27,27,In Service,41.878287,-87.643909,"(41.878287, -87.643909)"
111,Sedgwick St & Huron St,Sedgwick St & Huron St,19,18,In Service,41.894666,-87.638437,"(41.894666, -87.638437)"
53,LaSalle (Wells) St & Huron St,LaSalle (Wells) St & Huron St,27,26,In Service,41.894882,-87.632326,"(41.894882, -87.632326)"
66,Clinton St & Lake St,Clinton St & Lake St,23,22,In Service,41.885637,-87.641823,"(41.885637, -87.641823)"
425,Harper Ave & 59th St,Harper Ave & 59th St,15,15,In Service,41.787942813,-87.58831517,"(41.78794281287, -87.5883151702)"
232,Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,23,23,In Service,41.949275,-87.646303,"(41.949275, -87.646303)"
284,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,23,23,In Service,41.87785,-87.62408,"(41.87785, -87.62408)"
289,Wells St & Concord Ln,Wells St & Concord Ln,19,18,In Service,41.912133,-87.634656,"(41.912133, -87.634656)"
300,Broadway & Barry Ave,Broadway & Barry Ave,19,18,In Service,41.937725,-87.644095,"(41.937725, -87.644095)"
50,Clark St & Congress Pkwy,Clark St & Congress Pkwy,27,27,In Service,41.875932666,-87.630584536,"(41.8759326655, -87.6305845355)"
478,Rockwell St & Eastwood Ave,Rockwell St & Eastwood Ave,15,15,In Service,41.96590014,-87.693638494,"(41.96590013976, -87.6936384935)"
173,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,15,15,In Service,41.89691,-87.621743,"(41.89691, -87.621743)"
138,Clybourn Ave & Division St,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)"
16,Paulina Ave & North Ave,1575 N Paulina Ave,15,15,In Service,41.910337,-87.670072,"(41.910337, -87.670072)"
141,Clark St & Lincoln Ave,Clark St & Lincoln Ave,23,23,In Service,41.915689,-87.6346,"(41.915689, -87.6346)"
166,Ashland Ave & Wrightwood Ave,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
176,Clark St & Elm St,Clark St & Elm St,27,25,In Service,41.902973,-87.63128,"(41.902973, -87.63128)"
179,MLK Jr Dr & Oakwood Blvd,Off Steet,15,15,In Service,41.82256,-87.61615,"(41.82256, -87.61615)"
209,Normal Ave & Archer Ave,Normal Ave & Archer Ave,11,11,In Service,41.849527,-87.640591,"(41.849527, -87.640591)"
276,California Ave & North Ave,California Ave & North Ave,11,11,In Service,41.91044,-87.6972,"(41.91044, -87.6972)"
260,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,27,27,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
25,Michigan Ave & Pearson St,150 E.Pearson st,23,23,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
238,Ravenswood Ave & Montrose Ave (*),Ravenswood Ave & Montrose Ave (*),16,16,In Service,41.961615,-87.674365,"(41.961615, -87.674365)"
251,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,15,15,In Service,41.967968,-87.650001,"(41.967968, -87.650001)"
257,Lincoln Ave & Waveland Ave,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)"
29,Noble St & Milwaukee Ave,1016 N. Noble St,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
283,LaSalle St & Jackson Blvd,LaSalle St & Jackson Blvd,35,35,In Service,41.87817,-87.631985,"(41.87817, -87.631985)"
219,Damen Ave & Cortland St,Damen Ave & Cortland St,19,19,In Service,41.916027,-87.677411,"(41.916027, -87.677411)"
229,Southport Ave & Roscoe St,Southport Ave & Roscoe St,19,19,In Service,41.943739,-87.66402,"(41.943739, -87.66402)"
23,Orleans St & Elm St (*),350 W. Elm st,16,16,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
267,Lake Park Ave & 47th St,Lake Park Ave & 47th St,15,15,In Service,41.809443,-87.591875,"(41.809443, -87.591875)"
245,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,23,23,In Service,41.961004,-87.649603,"(41.961004, -87.649603)"
312,Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,15,15,In Service,41.957879,-87.649519,"(41.957879, -87.649519)"
428,Dorchester Ave & 63rd St,Dorchester Ave & 63rd St,15,15,In Service,41.780405646,-87.591415989,"(41.7804056457, -87.5914159893)"
434,Ogden Ave & Roosevelt Rd,Ogden Ave & Roosevelt Rd,19,19,In Service,41.866501483,-87.68469707,"(41.86650148316, -87.68469707)"
422,DuSable Museum,DuSable Museum,15,15,In Service,41.791568011,-87.607852177,"(41.79156801058, -87.6078521774)"
330,Lincoln Ave & Addison St,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
44,State St & Randolph St,State St & Randolph St,27,27,In Service,41.884730201,-87.627733569,"(41.8847302006, -87.6277335692)"
41,Federal St & Polk St,Federal St & Polk St,19,19,In Service,41.872077633,-87.629543773,"(41.87207763285, -87.6295437729)"
291,Wells St & Evergreen Ave,Wells St & Evergreen Ave,19,18,In Service,41.906724,-87.63483,"(41.906724, -87.63483)"
403,Wentworth Ave & 33rd St,Wentworth Ave & 33rd St,15,15,In Service,41.834529886,-87.631822981,"(41.83452988563, -87.6318229814)"
43,Michigan Ave & Washington St,120 N Michigan,43,40,In Service,41.883892766,-87.624649141,"(41.8838927658, -87.6246491409)"
352,Jeffery Blvd & 67th St,Jeffery Blvd & 67th St,15,15,In Service,41.773517551,-87.577142826,"(41.77351755125, -87.5771428255)"
353,Clark St & Touhy Ave,Clark St & Touhy Ave,15,15,In Service,42.012560115,-87.674367115,"(42.01256011541, -87.6743671152)"
46,Wells St & Walton St,932 N Wells St,19,19,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
62,McCormick Place,2253 S Dr Martin Luther King Jr Dr,27,27,In Service,41.851375173,-87.618834649,"(41.8513751729, -87.6188346489)"
597,Chicago Ave & Washington St,Chicago Ave & Washington St,15,15,In Service,42.032562,-87.679101,"(42.032562, -87.679101)"
505,Winchester Ave & Elston Ave,Winchester Ave & Elston Ave,15,15,In Service,41.92409085,-87.676460075,"(41.92409085038, -87.6764600747)"
77,Clinton St & Madison St,5 N Clinton St,31,30,In Service,41.882242,-87.641066,"(41.882242, -87.641066)"
69,Damen Ave & Pierce Ave,2002 W Pierce Ave,19,18,In Service,41.909396007,-87.677691929,"(41.9093960065, -87.6776919292)"
519,Wolcott Ave & Fargo Ave,Wolcott Ave & Fargo Ave,11,11,In Service,42.016977,-87.677725,"(42.016977, -87.677725)"
510,Spaulding Ave & Division St,Spaulding Ave & Division St,15,15,In Service,41.902706594,-87.709219571,"(41.90270659438, -87.709219571)"
549,Marshfield Ave & 44th St,Marshfield Ave & 44th St,11,11,In Service,41.813996,-87.666589,"(41.813996, -87.666589)"
145,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,19,19,In Service,41.898586651,-87.621915226,"(41.8985866514, -87.6219152258)"
140,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.898969,-87.629912,"(41.898969, -87.629912)"
180,Ritchie Ct & Banks St,Ritchie Ct & Banks St,15,14,In Service,41.906866,-87.626217,"(41.906866, -87.626217)"
93,Sheffield Ave & Willow St,1740 N Sheffield Ave,15,15,In Service,41.913688,-87.652855,"(41.913688, -87.652855)"
19,Loomis St & Taylor St (*),Loomis St & Taylor St (*),16,16,In Service,41.869417,-87.660996,"(41.869417, -87.660996)"
448,Warren Park East,Warren Park East,15,15,In Service,42.004549622,-87.680666145,"(42.00454962194, -87.6806661451)"
376,Artesian Ave & Hubbard St,Artesian Ave & Hubbard St,35,35,In Service,41.88949182,-87.688219365,"(41.88949181977, -87.6882193648)"
277,Ashland Ave & Grand Ave,Off Street,15,15,In Service,41.891072,-87.666611,"(41.891072, -87.666611)"
327,Sheffield Ave & Webster Ave,Sheffield Ave & Webster Ave,19,19,In Service,41.92154,-87.653818,"(41.92154, -87.653818)"
45,Michigan Ave & Congress Pkwy,420 w. Michigan,15,15,In Service,41.876243,-87.624426,"(41.876243, -87.624426)"
252,Greenwood Ave & 47th St,Greenwood Ave & 47th St,15,14,In Service,41.809835,-87.599383,"(41.809835, -87.599383)"
475,Washtenaw Ave & Lawrence Ave,Washtenaw Ave & Lawrence Ave,15,15,In Service,41.968987,-87.696027,"(41.968987, -87.696027)"
580,Exchange Ave & 79th St,Exchange Ave & 79th St,15,15,In Service,41.751731,-87.552812,"(41.751731, -87.552812)"
68,Clinton St & Tilden St,520 W Tilden St,23,23,In Service,41.875885,-87.640795,"(41.875885, -87.640795)"
479,Drake Ave & Montrose Ave,Drake Ave & Montrose Ave,15,15,In Service,41.961154076,-87.716569073,"(41.96115407569, -87.7165690733)"
487,California Ave & Byron St,California Ave & Byron St,19,19,In Service,41.952162193,-87.698051113,"(41.95216219326, -87.698051113)"
290,Kedzie Ave & Palmer Ct,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)"
305,Western Ave & Division St,Western Ave & Division St,15,14,In Service,41.902893,-87.687275,"(41.902893, -87.687275)"
484,Monticello Ave & Irving Park Rd,Monticello Ave & Irving Park Rd,15,15,In Service,41.954004839,-87.71912818,"(41.95400483876, -87.7191281797)"
465,Marine Dr & Ainslie St,Marine Dr & Ainslie St,23,23,In Service,41.9716,-87.650154,"(41.9716, -87.650154)"
507,Humboldt Blvd & Armitage Ave,Humboldt Blvd & Armitage Ave,19,19,In Service,41.917513394,-87.701808955,"(41.91751339399, -87.7018089555)"
190,Southport Ave & Wrightwood Ave,Southport Ave & Wrightwood Ave,15,15,In Service,41.928773,-87.663913,"(41.928773, -87.663913)"
157,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,15,15,In Service,41.936669,-87.636794,"(41.936669, -87.636794)"
144,Larrabee St & Webster Ave,Larrabee St & Webster Ave,19,19,In Service,41.921822,-87.64414,"(41.921822, -87.64414)"
163,Damen Ave & Clybourn Ave,Damen Ave & Clybourn Ave,15,15,In Service,41.931931,-87.677856,"(41.931931, -87.677856)"
92,Carpenter St & Huron St,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)"
90,Millennium Park,33 S Michigan Ave,47,47,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)"
211,St. Clair St & Erie St,St. Clair St & Erie St,19,18,In Service,41.894448,-87.622663,"(41.894448, -87.622663)"
72,Wabash Ave & 16th St,1590 S Wabash Ave,39,39,In Service,41.860384,-87.625813,"(41.860384, -87.625813)"
98,LaSalle St & Washington St,LaSalle St & Washington St,15,14,In Service,41.882664,-87.63253,"(41.882664, -87.63253)"
596,Benson Ave & Church St,Benson Ave & Church St,15,15,In Service,42.048214,-87.683485,"(42.048214, -87.683485)"
5,State St & Harrison St,620 S. State St.,23,23,In Service,41.874053,-87.627716,"(41.874053, -87.627716)"
255,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,39,39,In Service,41.867888,-87.623041,"(41.867888, -87.623041)"
463,Clark St & Berwyn Ave,Clark St & Berwyn Ave,19,19,In Service,41.977996654,-87.668047105,"(41.9779966544, -87.6680471047)"
302,Sheffield Ave & Wrightwood Ave,Sheffield Ave & Wrightwood Ave,19,18,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
52,Michigan Ave & Lake St,203 N Michigan Ave,31,30,In Service,41.886024,-87.624117,"(41.886024, -87.624117)"
153,Southport Ave & Wellington Ave,Southport Ave & Wellington Ave,19,19,In Service,41.935733,-87.663576,"(41.935733, -87.663576)"
378,California Ave & Lake St,California Ave & Lake St,15,15,In Service,41.884453957,-87.696298137,"(41.88445395657, -87.6962981368)"
154,Southport Ave & Belmont Ave,Southport Ave & Belmont Ave,15,15,In Service,41.93949,-87.66378,"(41.93949, -87.66378)"
303,Broadway & Cornelia Ave,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)"
169,Canal St & Harrison St,Canal St & Harrison St,15,15,In Service,41.874255,-87.639573,"(41.874255, -87.639573)"
165,Clark St & Grace St,Clark St & Grace St,19,19,In Service,41.95078,-87.659172,"(41.95078, -87.659172)"
159,Claremont Ave & Hirsch St,1451 N Claremont Ave,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)"
259,California Ave & Francis Pl,California Ave & Francis Pl,15,15,In Service,41.918121,-87.696972,"(41.918121, -87.696972)"
264,Stetson Ave & South Water St,Stetson Ave & South Water St,19,18,In Service,41.886835,-87.62232,"(41.886835, -87.62232)"
240,Sheridan Rd & Irving Park Rd,Sheridan Rd & Irving Park Rd,27,26,In Service,41.954245,-87.654406,"(41.954245, -87.654406)"
216,California Ave & Division St,California Ave & Division St,15,15,In Service,41.903029,-87.697474,"(41.903029, -87.697474)"
524,Austin Blvd & Chicago Ave,Austin Blvd & Chicago Ave,11,11,In Service,41.894887,-87.774704,"(41.894887, -87.774704)"
33,State St & Van Buren St,360 S State St,27,27,In Service,41.877181,-87.627844,"(41.877181, -87.627844)"
314,Ravenswood Ave & Berteau Ave,Ravenswood Ave & Berteau Ave,15,15,In Service,41.957921,-87.673567,"(41.957921, -87.673567)"
348,California Ave & 21st St,California Ave & 21st St,15,15,In Service,41.854016,-87.695445,"(41.854016, -87.695445)"
501,Richmond St & Diversey Ave,Richmond St & Diversey Ave,15,15,In Service,41.931901969,-87.70119513,"(41.93190196886, -87.7011951301)"
489,Drake Ave & Addison St,Central Park Ave & Addison St,15,15,In Service,41.947326,-87.717582,"(41.947326, -87.717582)"
51,Clark St & Randolph St,120 W. Randolph St.,39,39,In Service,41.884576228,-87.63188991,"(41.884576228, -87.63188991)"
400,Cottage Grove Ave & 71st St,Cottage Grove Ave & 71st St,11,11,In Service,41.765719037,-87.604959713,"(41.76571903697, -87.604959713)"
373,Kedzie Ave & Chicago Ave,Kedzie Ave & Chicago Ave,15,15,In Service,41.895465303,-87.706127884,"(41.89546530305, -87.7061278837)"
168,Michigan Ave & 14th St,Michigan Ave & 14th St,19,19,In Service,41.864059,-87.623727,"(41.864059, -87.623727)"
2,Buckingham Fountain,Buckingham Fountain,27,27,In Service,41.876393,-87.620328,"(41.876393, -87.620328)"
26,McClurg Ct & Illinois St,McClurg Ct & Illinois St,31,31,In Service,41.890359,-87.617532,"(41.890359, -87.617532)"
213,Leavitt St & North Ave,Leavitt St & North Ave,15,15,In Service,41.910153,-87.68229,"(41.910153, -87.68229)"
268,Lake Shore Dr & North Blvd,Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)"
244,Ravenswood Ave & Irving Park Rd,Ravenswood Ave & Irving Park Rd,19,18,In Service,41.95469,-87.67393,"(41.95469, -87.67393)"
254,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,15,14,In Service,41.954383,-87.648043,"(41.954383, -87.648043)"
199,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,31,31,In Service,41.891466,-87.626761,"(41.891466, -87.626761)"
603,Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,15,15,In Service,42.050491,-87.677821,"(42.050491, -87.677821)"
236,Sedgwick St & Schiller St,Sedgwick St & Schiller St,15,15,In Service,41.905664,-87.638517,"(41.905664, -87.638517)"
604,Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),15,15,In Service,42.058239,-87.677432,"(42.058239, -87.677432)"
177,Theater on the Lake,Theater on the Lake,23,23,In Service,41.926277,-87.630834,"(41.926277, -87.630834)"
326,Clark St & Leland Ave,Clark St & Leland Ave,19,19,In Service,41.967096,-87.667429,"(41.967096, -87.667429)"
67,Sheffield Ave & Fullerton Ave,2410 N Sheffield Ave,19,18,In Service,41.925601882,-87.653708042,"(41.9256018819, -87.6537080423)"
397,Saginaw Ave & Exchange Ave,Saginaw Ave & Exchange Ave,11,11,In Service,41.758745837,-87.560114781,"(41.75874583706, -87.5601147813)"
468,Budlong Woods Library,Budlong Woods Library,15,15,In Service,41.983664709,-87.696422561,"(41.98366470886, -87.6964225611)"
34,Cannon Dr & Fullerton Ave,2432 N. Cannon Dr.,15,15,In Service,41.926755988,-87.634428785,"(41.9267559875, -87.6344287848)"
80,Aberdeen St & Monroe St,Aberdeen St & Monroe St,19,19,In Service,41.880419,-87.655519,"(41.880419, -87.655519)"
294,Broadway & Berwyn Ave,Broadway & Berwyn Ave,15,14,In Service,41.978353,-87.659753,"(41.978353, -87.659753)"
322,Kimbark Ave & 53rd St,Kimbark Ave & 53rd St,19,19,In Service,41.799568,-87.594747,"(41.799568, -87.594747)"
54,Ogden Ave & Chicago Ave,1040 W. Chicago Ave.,19,19,In Service,41.896362458,-87.654061273,"(41.896362458, -87.6540612729)"
304,Broadway & Waveland Ave,Broadway & Waveland Ave,15,15,In Service,41.949074,-87.648636,"(41.949074, -87.648636)"
296,Broadway & Belmont Ave,Broadway & Belmont Ave,19,19,In Service,41.940106,-87.645451,"(41.940106, -87.645451)"
249,Montrose Harbor,Montrose Harbor,31,31,In Service,41.963982,-87.638181,"(41.963982, -87.638181)"
298,Lincoln Ave & Belle Plaine Ave,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.955927,-87.679259,"(41.955927, -87.679259)"
313,Lakeview Ave & Fullerton Pkwy,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)"
123,California Ave & Milwaukee Ave,California Ave & Milwaukee Ave,15,15,In Service,41.922695,-87.697153,"(41.922695, -87.697153)"
275,Ashland Ave & 13th St,Ashland Ave & 13th St,15,15,In Service,41.865234,-87.666507,"(41.865234, -87.666507)"
220,Broadway (Hampden Ct) & Diversey Pkwy,Broadway (Hampden Ct) & Diversey Pkwy,23,23,In Service,41.932913,-87.644531,"(41.932913, -87.644531)"
161,Rush St & Superior St,Rush St & Superior St,23,22,In Service,41.895764746,-87.625908033,"(41.89576474564, -87.6259080327)"
195,Columbus Dr & Randolph St,Columbus Dr & Randolph St,47,47,In Service,41.884728,-87.619521,"(41.884728, -87.619521)"
287,Franklin St & Monroe St,Franklin St & Monroe St,27,27,In Service,41.880317,-87.635185,"(41.880317, -87.635185)"
196,Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,23,23,In Service,41.890573,-87.622072,"(41.890573, -87.622072)"
24,Fairbanks Ct & Grand Ave,240 E.Grand Ave.,15,15,In Service,41.89186,-87.62062,"(41.89186, -87.62062)"
408,Union Ave & Root St,Union Ave & Root St,11,11,In Service,41.819102,-87.643278,"(41.819102, -87.643278)"
474,Christiana Ave & Lawrence Ave,Christiana Ave & Lawrence Ave,15,15,In Service,41.968354494,-87.711830667,"(41.96835449363, -87.7118306675)"
4,Burnham Harbor,Burnham Harbor,23,23,In Service,41.856268,-87.613348,"(41.856268, -87.613348)"
347,Ashland Ave & Grace St,Ashland Ave & Grace St,15,15,In Service,41.950687,-87.6687,"(41.950687, -87.6687)"
338,Calumet Ave & 18th St,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)"
329,Lake Shore Dr & Diversey Pkwy,Lake Shore Dr & Diversey Pkwy,15,15,In Service,41.932684,-87.63625,"(41.932684, -87.63625)"
35,Streeter Dr & Grand Ave,Navy Pier,47,47,In Service,41.892278,-87.612043,"(41.892278, -87.612043)"
56,Desplaines St & Kinzie St,368 N. Desplaines St.,27,27,In Service,41.888716036,-87.644447853,"(41.888716036, -87.6444478533)"
359,Larrabee St & Division St,Larrabee St & Division St,23,22,In Service,41.90348607,-87.643353494,"(41.90348607004, -87.6433534936)"
364,Larrabee St & Oak St,Larrabee St & Oak St,19,19,In Service,41.900219493,-87.642985468,"(41.90021949323, -87.6429854676)"
47,State St & Kinzie St,5 E Kinzie St,31,31,In Service,41.889187,-87.627754,"(41.889187, -87.627754)"
49,Dearborn St & Monroe St,80 S Dearborn St,39,39,In Service,41.881319815,-87.629520919,"(41.881319815, -87.6295209193)"
394,Clark St & 9th St (AMLI),Clark St & 9th St (AMLI),15,10,In Service,41.870816,-87.631246,"(41.870816, -87.631246)"
86,Eckhart Park,811 N Noble St,19,18,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)"
